# # # # # # # # # # # # # # # # # # # # # Date		CASH		BOND L		BOND NL		EQT		GOVI		ETF		OTHERS
20171101.00	664037.86	2644801.50	876718.81	1658621.07	202326.00	101872.30	 33258.74
20171102.00	594878.96	2644873.25	876682.81	1677815.55	202304.00	140648.10	 33548.28
20171103.00	577574.37	2646311.25	876616.81	1689100.32	202300.00	200390.15	 33834.72
20171106.00	541646.20	2648433.25	877095.81	1752669.86	202254.00	200795.05	 34724.94
20171107.00	384040.16	2648521.00	877246.81	1759108.96	404772.00	199667.80	 35251.93
20171108.00	387041.78	2643048.25	876928.81	1773662.63	404456.00	197568.65	 35548.92
20171109.00	189989.31	2835671.75	877127.81	1787097.09	404488.00	195322.30	 35845.86
20171110.00	289757.82	2826781.75	877110.81	1776921.84	404396.00	194281.75	 35762.39
20171113.00	319703.82	2824977.00	876906.31	1750582.54	404100.00	192680.55	 36657.98
20171114.00	329700.32	2823214.75	876783.31	1762612.34	404276.00	192362.15	 36956.49
20171115.00	347585.80	2814009.75	877215.31	1764507.79	404564.00	190647.55	 29387.85
20171116.00	474099.54	2714331.75	877264.31	1791862.71	404528.00	191272.25	 29691.51
20171117.00	484108.89	2714078.00	876827.31	1805031.77	404264.00	191148.15	 30015.23
20171120.00	473094.81	2717901.25	877427.80	1848260.41	404688.00	192666.40	 30986.48
20171121.00	474552.31	2720022.50	876896.80	1863011.57	404628.00	194265.50	 31309.55
20171122.00	474552.31	2720844.50	876845.80	1870201.91	405320.00	194073.80	 31632.61
20171123.00	532633.81	2721660.75	876867.80	1876456.16	405280.00	194372.95	 31955.66
20171124.00	557455.76	2721338.75	877422.82	1874694.26	404924.00	194717.95	 32278.69
20171127.00	564873.76	2721150.75	877448.82	1869266.51	404524.00	193884.31	 33247.88
20171128.00	570286.26	2721633.00	877036.82	1880047.25	405416.00	194244.01	 33570.95
20171129.00	481613.76	2870761.50	877024.82	1878377.94	405492.00	195013.61	 33893.98
20171130.00	511336.59	2871302.25	877518.33	1880906.33	405764.00	195674.18	 34217.09
20171201.00	513886.20	2870933.75	876935.81	1879990.40	405240.00	193830.41	 34540.10
20171204.00	514377.20	2871003.75	876921.81	1892983.45	405104.00	195621.44	 35509.30
20171205.00	405629.28	2972073.00	877484.81	1915982.50	405904.00	195923.00	 35832.36
20171206.00	428807.28	2970636.00	877195.81	1915443.98	405780.00	195338.60	 36160.07
20171207.00	368683.95	2969041.75	978200.81	1918221.19	406068.00	196309.46	 35569.67
20171208.00	420575.20	2967957.50	977274.31	1926736.07	406092.00	198106.76	 35897.40
20171211.00	425575.20	2967512.25	978531.31	1934083.57	406120.00	198090.57	 36880.61
20171212.00	451278.95	2967124.25	978549.31	1923672.91	405776.00	197468.06	 37221.28
20171213.00	412971.33	2965302.25	978287.31	1932910.25	404696.00	233847.60	 37561.97
20171214.00	370376.33	2962595.25	978398.31	1972815.92	404480.00	232014.30	 37902.66
20171215.00	349095.26	2961634.00	978152.32	1996618.84	404288.00	230933.10	 37694.51
20171218.00	424941.53	2860198.75	978490.32	2051698.46	404572.00	233764.80	 38612.74
20171219.00	373530.46	2911760.75	977977.32	2042546.44	403832.00	232728.70	 42878.26
20171220.00	378489.46	2912804.75	978489.32	2031236.08	403716.00	231852.50	 43229.72
20171221.00	383410.96	2913275.50	978944.32	2036774.73	403892.00	232082.50	 43581.15
20171222.00	477293.92	2913151.25	977480.32	2043740.12	404088.00	231604.30	 43944.57
20171227.00	395414.03	2912291.00	1076496.32	2050603.55	404080.00	232666.30	 46238.08
20171228.00	395414.03	2912496.50	1076639.32	2056106.76	403544.00	232565.50	 46601.54
20171229.00	294528.69	3013903.75	1076489.32	2039429.38	403348.00	230201.70	 48263.58
20180102.00	301056.52	3013448.25	1076441.32	2052229.71	402840.00	230183.60	 46083.45
20180103.00	302270.30	3017194.50	1076478.32	2074659.09	402996.00	230999.70	 46456.58
20180104.00	310139.30	3022533.50	1076747.32	2100295.19	403520.00	235326.10	 46833.82
20180105.00	311836.60	3025513.75	1077025.32	2107819.75	403400.00	237654.10	 46347.02
20180108.00	333499.60	3028386.00	1076698.32	2115169.95	403616.00	238750.00	 47478.83
20180109.00	333496.60	3027844.25	1076870.32	2126112.82	403488.00	240542.00	 47856.09
20180110.00	248088.38	3025335.00	1076515.32	2201125.44	403568.00	240374.00	 48233.35
20180111.00	198650.08	3022717.50	1077057.32	2246400.44	403452.00	241410.00	 48610.62
20180112.00	203571.58	3024365.00	1078920.82	2255124.98	404052.00	242001.60	 48987.84
20180115.00	227390.44	3025104.25	1065364.78	2257382.05	404288.00	242702.30	 50021.86
20180116.00	246894.61	3028401.25	1065413.78	2250710.87	404556.00	242435.30	 48981.74
20180117.00	277333.11	3027900.50	1065749.78	2251416.54	404204.00	242544.60	 49358.94
20180118.00	346528.11	3026613.00	1065309.78	2254594.05	404352.00	242881.60	 49736.08
20180119.00	294090.46	3026018.50	1166471.55	2271424.58	404428.00	244799.60	 51300.23
20180122.00	229915.96	3127165.75	1166388.15	2287788.46	404620.00	246472.00	 52431.76
